First hidden layer,Second hidden layer,Gamma,Max reward
128,128,0,-91.25
128,128,0.1,-84.03
128,128,0.2,-89.15
128,128,0.3,-76.81
128,128,0.4,-79.03
128,128,0.5,-78.8
128,128,0.6,-64.19
128,128,0.7,-58.36
128,128,0.8,-60.25
128,128,0.9,-43.22
128,128,1,-76.75
64,64,0,-94.26
64,64,0.1,-92.86
64,64,0.2,-85.4
64,64,0.3,-79.64
64,64,0.4,-74.92
64,64,0.5,-77.56
64,64,0.6,-66.34
64,64,0.7,-65.17
64,64,0.8,-57.99
64,64,0.9,-33.62
64,64,1,-82.69
256,256,0,-89.06
256,256,0.1,-83.86
256,256,0.2,-85.49
256,256,0.3,-83.11
256,256,0.4,-81.14
256,256,0.5,-72.29
256,256,0.6,-65.84
256,256,0.7,-59.45
256,256,0.8,-44.04
256,256,0.9,-24.19
256,256,1,-89.22
128,64,0,-85.19
128,64,0.1,-80.363636
128,64,0.2,-80.94
128,64,0.3,-71.08
128,64,0.4,-77.92
128,64,0.5,-80.04
128,64,0.6,-70.44
128,64,0.7,-61.73
128,64,0.8,-90.92
128,64,0.9,-58.46
128,64,1,-85.9
