,alpha,gamma,epsilon,mean_reward,mean_total_health,q_var,num_episodes
0,0.8,0.8,0.4,18.92,69.7,386.3343650112465,1000
1,0.8,0.8,0.4,18.03,69.11,380.25862263361853,1000
2,0.8,0.8,0.4,17.85,68.87,387.093522287208,1000
3,0.8,0.8,0.4,17.55,68.47,383.0735986190093,1000
4,0.8,0.8,0.4,17.63,68.56,382.8000073247034,1000
5,0.8,0.8,0.4,17.58,68.76,379.1576718035961,1000
6,0.8,0.8,0.4,17.13,68.06,385.7872069997669,1000
7,0.8,0.8,0.4,18.41,69.52,375.56851920006557,1000
8,0.8,0.8,0.4,18.48,69.21,379.8096553852635,1000
9,0.8,0.8,0.4,18.12,68.89,384.22969605830383,1000
10,0.8,0.8,0.4,17.6,68.19,388.67152065929815,1000
11,0.8,0.8,0.4,19.02,69.66,388.4110307585021,1000
12,0.8,0.8,0.4,19.66,70.36,387.62748491369695,1000
13,0.8,0.8,0.4,19.75,70.13,393.1265533807276,1000
14,0.8,0.8,0.4,19.58,70.01,391.79902144762394,1000
15,0.8,0.8,0.4,18.41,69.16,386.58680168536154,1000
16,0.8,0.8,0.4,19.84,70.53,385.6995794632465,1000
17,0.8,0.8,0.4,18.51,69.27,384.9197494311911,1000
18,0.8,0.8,0.4,15.62,66.81,377.57172466381945,1000
19,0.8,0.8,0.4,17.57,68.17,384.2975848920685,1000
20,0.8,0.8,0.4,18.78,69.25,393.6846146252283,1000
21,0.8,0.8,0.4,19.13,69.6,390.2774997426392,1000
22,0.8,0.8,0.4,18.76,69.66,382.66819516655113,1000
23,0.8,0.8,0.4,18.78,69.58,385.7565466243301,1000
24,0.8,0.8,0.4,19.24,69.81,387.586934585518,1000
25,0.8,0.8,0.4,17.13,67.84,386.5891405030851,1000
26,0.8,0.8,0.4,18.88,69.38,390.1372715778809,1000
